DATE,DEXUSEU
04/01/1999,1.1812
05/01/1999,1.176
06/01/1999,1.1636
07/01/1999,1.1672
08/01/1999,1.1554
11/01/1999,1.1534
12/01/1999,1.1548
13/01/1999,1.1698
14/01/1999,1.1689
15/01/1999,1.1591
19/01/1999,1.161
20/01/1999,1.1575
21/01/1999,1.1577
22/01/1999,1.1582
25/01/1999,1.1566
26/01/1999,1.1577
27/01/1999,1.1481
28/01/1999,1.1395
29/01/1999,1.1371
01/02/1999,1.1303
02/02/1999,1.1328
03/02/1999,1.1339
04/02/1999,1.1306
05/02/1999,1.1283
08/02/1999,1.1296
09/02/1999,1.13
10/02/1999,1.1331
11/02/1999,1.1303
12/02/1999,1.1282
16/02/1999,1.1189
17/02/1999,1.123
18/02/1999,1.1223
19/02/1999,1.1075
22/02/1999,1.1037
23/02/1999,1.0993
24/02/1999,1.0972
25/02/1999,1.1068
26/02/1999,1.0995
01/03/1999,1.0891
02/03/1999,1.0931
03/03/1999,1.0888
04/03/1999,1.0824
05/03/1999,1.0843
08/03/1999,1.0899
09/03/1999,1.0873
10/03/1999,1.0961
11/03/1999,1.0932
12/03/1999,1.0936
15/03/1999,1.093
16/03/1999,1.0915
17/03/1999,1.1015
18/03/1999,1.099
19/03/1999,1.0923
22/03/1999,1.0915
23/03/1999,1.0918
24/03/1999,1.0921
25/03/1999,1.0871
26/03/1999,1.0743
29/03/1999,1.0716
30/03/1999,1.0732
31/03/1999,1.0808
01/04/1999,1.0782
02/04/1999,1.0782
05/04/1999,1.0706
06/04/1999,1.0838
07/04/1999,1.0784
08/04/1999,1.0835
09/04/1999,1.0786
12/04/1999,1.0842
13/04/1999,1.078
14/04/1999,1.0779
15/04/1999,1.0717
16/04/1999,1.0688
19/04/1999,1.0608
20/04/1999,1.063
21/04/1999,1.0612
22/04/1999,1.0598
23/04/1999,1.0634
26/04/1999,1.059
27/04/1999,1.0649
28/04/1999,1.0616
29/04/1999,1.0591
30/04/1999,1.0564
03/05/1999,1.0571
04/05/1999,1.0593
05/05/1999,1.0724
06/05/1999,1.0779
07/05/1999,1.0781
10/05/1999,1.0787
11/05/1999,1.072
12/05/1999,1.0666
13/05/1999,1.0626
14/05/1999,1.065
17/05/1999,1.0672
18/05/1999,1.0672
19/05/1999,1.0641
20/05/1999,1.063
21/05/1999,1.0577
24/05/1999,1.0593
25/05/1999,1.0587
26/05/1999,1.0471
27/05/1999,1.0439
28/05/1999,1.0422
01/06/1999,1.0449
02/06/1999,1.0357
03/06/1999,1.0355
04/06/1999,1.0327
07/06/1999,1.0296
08/06/1999,1.0438
09/06/1999,1.045
10/06/1999,1.0477
11/06/1999,1.0516
14/06/1999,1.0416
15/06/1999,1.042
16/06/1999,1.0298
17/06/1999,1.0329
18/06/1999,1.0368
21/06/1999,1.0323
22/06/1999,1.0323
23/06/1999,1.0316
24/06/1999,1.0372
25/06/1999,1.0448
28/06/1999,1.0373
29/06/1999,1.0337
30/06/1999,1.031
01/07/1999,1.0236
02/07/1999,1.0244
06/07/1999,1.0249
07/07/1999,1.0224
08/07/1999,1.0198
09/07/1999,1.0186
12/07/1999,1.0139
13/07/1999,1.0176
14/07/1999,1.0215
15/07/1999,1.022
16/07/1999,1.0203
19/07/1999,1.0203
20/07/1999,1.042
